"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6061","@API place the order","","2026-09-22","passed","2026-09-22","","WebAPIPart1.spec.js","",""
"","8029","@API Security Test Network Intercept","","2026-09-22","passed","2026-09-22","","NetworkInterceptTest2.spec.js","",""
